"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","771","Проверка доступности https://dealer-passport-test.xsfera.ru/violations/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","61961","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/q/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","866","Получить Курс по ид","tests.api_tests","2026-06-24","passed","2026-06-24","TestCourses > TestEmployeeCourses","EmployeeCourses","",""
"","864","Получить информацию по документам ДЦ","tests.api_tests","2026-06-24","passed","2026-06-24","TestDealer","Dealer","",""
"","2616","Проверка доступности MSPortal Test","tests.api_tests","2026-06-24","passed","2026-06-24","TestIntegrations","integrations_test","",""
"","573","Проверка доступности https://dealer-passport-test.xsfera.ru/q/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","62749","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/gr/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","1036","Получить логи cron задач","tests.api_tests","2026-06-24","passed","2026-06-24","TestLog","Logs","",""
"","60852","Проверить доступность меню в редакторе","tests.ui_tests","2026-06-24","broken","2026-06-24","TestEditorPage","editor_page_test","",""
"","846","Получить информацию по адресам дилера","tests.api_tests","2026-06-24","passed","2026-06-24","TestDealer","Dealer","",""
"","925","Получить базовую информацию дилера по айди","tests.api_tests","2026-06-24","passed","2026-06-24","TestDealer","Dealer","",""
"","60212","Проверить отображение и кликабельность кнопки ДОКУМЕНТЫ","tests.ui_tests","2026-06-24","failed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","818","Проверка доступности https://dealer-passport-test.xsfera.ru/editor/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","60716","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/pkd/checklists/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","60713","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/logs/email","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","591","Проверка доступности https://dealer-passport-test.xsfera.ru/documents/","tests.ui_tests","2026-06-24","passed","2026-06-24","TestMainPageSmoke","main_page_test","",""
"","10172","Получить список дилеров","tests.api_tests","2026-06-24","passed","2026-06-24","TestExternalApi","ExternalApi","",""
"","0","Проверить отображение кнопок блока о ДЦ","tests.ui_tests","2026-06-24","broken","2026-06-24","TestMainPageSmoke","main_page_test","",""
